timestamps,TP9,AF7
1533059192,30.762,15.625
1533059193,26.367,13.672
1533059193,21.484,14.16
1533059193,11.719,15.625
1533059193,17.578,16.113
1533059193,32.715,17.578
1533059193,30.273,17.09
1533059193,15.625,15.625
1533059193,2.93,16.113
1533059193,12.207,17.09
1533059193,27.344,16.113
1533059193,20.02,15.137
1533059193,12.695,19.043
1533059193,4.395,17.09
1533059193,13.672,16.113
1533059193,31.25,21.484
1533059193,26.367,23.438
1533059193,19.531,24.902
1533059193,6.348,21.484
1533059193,12.695,21.484
1533059193,29.785,25.391
1533059193,28.809,23.926
1533059193,25.391,21.973
1533059193,16.113,21.484
1533059193,14.16,21.973
1533059193,27.832,21.973
1533059193,30.273,20.02
1533059193,27.344,19.531
1533059193,23.438,20.508
1533059193,21.973,20.02
1533059193,36.133,21.484
1533059193,32.227,20.02
1533059193,21.484,19.531
1533059193,14.16,19.043
1533059193,16.113,14.16
1533059193,38.086,19.043
1533059193,39.551,23.438
1533059193,24.414,20.02
1533059193,16.602,16.602
1533059193,7.812,7.324
1533059193,26.367,0
1533059193,41.504,6.348
1533059193,24.902,11.719
1533059193,21.484,13.184
1533059193,15.625,20.996
1533059193,22.949,25.879
1533059193,32.227,22.949
1533059193,22.461,16.113
1533059193,22.461,12.207
1533059193,14.16,15.137
1533059193,10.254,20.996
1533059193,25.391,23.926
1533059193,32.227,29.785
1533059193,24.902,31.738
1533059193,4.395,28.809
1533059193,0,25.879
1533059193,20.508,23.926
1533059193,27.832,23.438
1533059193,26.367,25.879
1533059193,19.531,27.832
1533059193,19.043,26.367
1533059193,36.133,26.855
1533059193,37.598,25.879
1533059193,21.973,20.996
1533059193,11.719,16.602
1533059193,18.555,15.625
1533059193,37.109,21.484
1533059193,36.133,24.902
1533059193,21.973,22.461
1533059193,10.742,20.996
1533059193,13.184,21.973
1533059193,34.18,23.926
1533059193,37.598,23.926
1533059193,28.32,20.996
1533059193,21.484,18.066
1533059193,19.043,18.555
1533059193,34.18,19.043
1533059193,40.039,20.996
1533059193,31.738,24.414
1533059193,24.902,24.414
1533059193,17.09,25.391
1533059193,32.715,26.367
1533059193,36.621,22.461
1533059193,22.949,17.09
1533059193,17.578,15.625
1533059193,15.625,12.695
1533059193,28.32,15.137
1533059193,34.18,22.949
1533059193,27.832,21.973
1533059193,20.996,19.531
1533059193,4.395,18.066
1533059193,7.324,15.137
1533059193,32.227,14.648
1533059193,40.527,16.602
1533059193,31.738,19.531
1533059193,19.043,21.973
1533059193,21.973,21.973
1533059193,37.109,20.508
1533059193,40.039,20.02
1533059193,32.227,20.996
1533059193,14.648,20.996
1533059193,12.207,23.926
1533059193,33.691,27.344
1533059193,36.621,26.367
1533059193,23.926,24.902
1533059193,17.09,25.879
1533059193,12.695,26.367
1533059193,23.926,25.391
1533059193,36.133,23.438
1533059193,33.203,27.344
1533059193,22.461,32.715
1533059193,15.137,30.762
1533059193,31.738,27.344
1533059193,39.062,29.785
1533059193,31.25,28.32
1533059193,22.949,22.949
1533059193,13.184,23.438
1533059193,30.273,25.391
1533059193,44.434,25.391
1533059193,36.133,25.391
1533059193,25.391,22.949
1533059193,17.578,22.461
1533059193,26.367,22.949
1533059193,37.109,26.367
1533059193,35.645,27.832
1533059193,26.367,27.832
1533059193,16.602,29.785
1533059193,26.367,28.809
1533059193,39.551,25.879
1533059193,37.598,26.367
1533059193,32.227,26.367
1533059193,20.02,21.973
1533059193,21.484,17.578
1533059193,35.156,18.555
1533059193,32.227,19.531
1533059193,27.344,18.066
1533059193,18.066,16.602
1533059193,20.508,14.16
1533059193,36.621,12.695
1533059193,30.273,9.277
1533059193,20.508,10.254
1533059193,14.648,15.625
1533059193,18.066,17.578
1533059193,34.18,14.16
1533059193,37.598,12.695
1533059193,26.855,14.16
1533059193,14.648,15.625
1533059193,13.672,13.184
1533059193,24.902,10.742
1533059193,29.785,11.719
1533059193,28.32,13.672
1533059193,18.066,12.695
1533059193,14.16,13.184
1533059193,29.297,15.137
1533059193,37.598,15.137
1533059193,31.738,16.113
1533059193,20.996,17.578
1533059193,20.996,12.695
1533059193,39.062,7.812
1533059193,48.34,12.207
1533059193,43.457,20.508
1533059193,30.762,24.414
1533059193,12.695,25.879
1533059193,19.531,25.879
1533059193,38.086,24.902
1533059193,33.203,21.973
1533059193,25.879,21.973
1533059193,16.113,20.996
1533059193,20.996,19.531
1533059193,38.574,22.949
1533059193,39.062,24.902
1533059193,32.227,22.461
1533059193,20.508,21.484
1533059193,19.043,18.066
1533059193,34.18,17.578
1533059193,31.25,18.555
1533059193,20.508,16.113
1533059193,14.648,16.113
1533059193,19.531,17.09
1533059193,37.598,18.555
1533059193,40.039,19.531
1533059193,33.203,21.484
1533059193,28.32,23.926
1533059193,27.344,22.461
1533059193,39.062,21.484
1533059193,40.039,20.02
1533059193,27.344,20.02
1533059193,20.508,20.508
1533059193,17.09,19.531
1533059193,33.203,21.484
1533059193,45.898,26.855
1533059193,37.109,28.809
1533059193,22.461,25.391
1533059193,25.391,24.902
1533059193,48.34,25.391
1533059193,51.27,26.855
1533059193,37.598,29.297
1533059193,16.113,28.809
1533059193,2.441,19.531
1533059193,30.273,13.184
1533059193,26.367,22.461
1533059193,12.695,33.691
1533059193,25.879,37.109
1533059193,4.395,31.738
1533059193,7.324,26.367
1533059193,33.691,21.973
