timestamps,TP9,AF7
1533058200,4.883,22.949
1533058200,19.531,22.461
1533058200,20.508,19.531
1533058200,30.273,14.16
1533058200,24.902,22.461
1533058200,17.578,25.391
1533058200,18.555,25.879
1533058200,30.273,30.273
1533058200,44.922,23.926
1533058200,28.809,21.484
1533058200,14.648,29.297
1533058200,22.461,26.855
1533058200,38.086,25.391
1533058200,39.551,27.344
1533058200,17.09,24.902
1533058200,9.766,24.902
1533058200,9.277,24.414
1533058200,12.207,26.367
1533058200,32.227,27.344
1533058200,21.973,21.484
1533058200,6.348,18.066
1533058200,9.277,18.066
1533058200,19.531,19.043
1533058200,31.738,19.531
1533058200,28.809,20.02
1533058200,25.391,20.508
1533058200,21.484,20.02
1533058200,27.344,20.996
1533058200,49.316,20.02
1533058200,47.363,18.066
1533058200,31.738,17.09
1533058200,19.043,14.16
1533058200,39.062,12.207
1533058200,49.805,16.602
1533058200,35.645,15.137
1533058200,25.391,9.277
1533058200,12.695,10.254
1533058200,31.25,13.672
1533058200,34.668,12.695
1533058200,21.484,8.789
1533058200,16.602,5.859
1533058200,2.93,6.348
1533058200,21.484,9.277
1533058200,39.062,15.625
1533058200,30.273,7.324
1533058200,30.273,2.93
1533058200,28.32,10.254
1533058200,29.297,8.301
1533058200,39.551,14.16
1533058200,41.504,18.066
1533058200,33.203,11.23
1533058200,21.484,12.695
1533058200,18.066,23.438
1533058200,31.25,22.461
1533058200,37.109,16.113
1533058200,25.391,15.625
1533058200,13.672,21.484
1533058200,20.02,23.438
1533058200,23.438,19.531
1533058200,26.367,22.949
1533058200,27.832,19.531
1533058200,12.695,12.207
1533058200,-7.812,11.719
1533058200,3.906,16.602
1533058200,25.879,29.297
1533058200,17.09,32.715
1533058200,12.207,29.297
1533058200,7.812,29.297
1533058200,12.207,24.902
1533058200,23.926,20.02
1533058200,15.625,20.996
1533058200,20.508,22.461
1533058200,14.16,21.973
1533058200,4.883,14.648
1533058200,25.391,15.625
1533058200,16.113,28.32
1533058200,0.488,31.25
1533058200,-4.395,26.855
1533058200,5.371,27.832
1533058200,24.414,31.738
1533058200,13.184,31.738
1533058200,-0.488,27.344
1533058200,0,19.531
1533058200,13.672,15.137
1533058200,28.32,20.508
1533058200,33.691,29.297
1533058200,28.809,34.18
1533058200,13.672,34.668
1533058200,12.695,31.25
1533058200,51.758,30.762
1533058200,52.734,34.668
1533058200,14.16,35.156
1533058200,4.883,33.203
1533058200,4.395,30.273
1533058200,15.625,28.809
1533058200,20.996,30.273
1533058200,16.113,23.438
1533058200,21.973,11.719
1533058200,1.465,-4.883
1533058200,-4.883,-14.16
1533058200,-3.906,-10.742
1533058200,-13.672,-17.578
1533058200,-35.156,-23.926
1533058200,-32.715,-19.531
1533058200,-24.414,-12.207
1533058200,-24.414,-11.23
1533058200,-42.969,-16.602
1533058200,-61.035,-9.277
1533058200,-56.152,-0.977
1533058200,-41.016,2.93
1533058200,-27.344,2.93
1533058200,-40.527,1.953
1533058200,-53.711,1.465
1533058200,-57.129,-0.977
1533058200,-56.641,-2.93
1533058200,-47.363,-4.883
1533058200,-50.293,-10.254
1533058200,-70.312,-14.648
1533058200,-64.941,-11.23
1533058200,-53.223,-3.418
1533058200,-54.688,2.441
1533058200,-43.945,7.812
1533058200,-51.27,10.254
1533058200,-59.082,8.789
1533058200,-53.711,5.371
1533058200,-32.227,6.836
1533058200,-39.551,13.184
1533058200,-49.805,19.531
1533058200,-41.016,22.461
1533058200,-40.527,19.531
1533058200,-33.203,17.09
1533058200,-23.438,15.137
1533058200,-34.18,7.812
1533058200,-39.062,5.859
1533058200,-35.156,9.766
1533058200,-37.109,11.23
1533058200,-30.273,10.742
1533058200,-27.344,14.648
1533058200,-38.574,12.207
1533058200,-38.574,8.301
1533058200,-16.602,11.719
1533058200,-9.277,15.137
1533058200,-17.578,23.926
1533058200,-26.367,32.715
1533058200,-27.344,34.668
1533058200,-11.719,39.062
1533058200,1.465,44.434
1533058200,-7.812,44.922
1533058200,-18.555,38.086
1533058200,-12.207,37.598
1533058200,11.719,40.039
1533058200,19.531,37.598
1533058200,6.348,30.273
1533058200,11.719,26.367
1533058200,12.695,21.973
1533058200,22.461,17.09
1533058200,44.922,20.508
1533058200,36.621,25.391
1533058200,36.133,25.879
1533058200,50.781,20.996
1533058200,59.57,14.16
1533058200,73.242,10.254
1533058200,84.961,10.254
1533058200,77.637,7.324
1533058200,59.082,0.977
1533058200,62.988,-3.906
1533058200,80.566,-6.836
1533058200,89.844,-10.254
1533058200,92.773,-4.395
1533058200,87.891,2.93
1533058200,85.938,2.441
1533058200,105.469,5.859
1533058200,120.117,5.859
1533058200,101.074,0.977
1533058200,79.59,-5.859
1533058200,85.449,-7.324
1533058200,98.633,1.465
1533058200,104.004,6.836
1533058200,91.797,3.418
1533058200,85.449,2.93
1533058200,91.797,3.906
1533058201,97.656,5.371
1533058201,107.422,7.324
1533058201,103.516,8.789
1533058201,84.961,9.277
1533058201,81.055,6.348
1533058201,89.844,11.23
1533058201,96.191,17.578
1533058201,91.797,21.484
1533058201,85.938,26.855
1533058201,79.59,24.902
1533058201,81.055,21.973
1533058201,94.727,18.555
1533058201,93.75,17.09
1533058201,74.707,16.602
1533058201,67.871,16.113
1533058201,72.754,18.066
1533058201,86.914,17.578
1533058201,80.078,18.066
1533058201,58.105,16.113
1533058201,57.617,10.254
1533058201,63.965,12.207
1533058201,70.312,19.531
1533058201,70.801,19.531
1533058201,62.988,14.648
1533058201,54.688,12.695
1533058201,69.824,14.648
1533058201,82.52,15.137
1533058201,62.5,13.184
1533058201,58.105,12.207
1533058201,46.875,9.766
1533058201,41.992,8.301
1533058201,50.781,10.742
1533058201,47.852,8.301
1533058201,42.969,13.184
1533058201,32.715,23.926
1533058201,24.902,22.461
1533058201,40.527,18.555
1533058201,48.828,20.508
1533058201,32.227,20.508
1533058201,28.809,18.555
1533058201,32.715,19.531
1533058201,37.109,23.438
1533058201,45.41,25.879
1533058201,38.574,19.531
1533058201,26.855,20.02
1533058201,24.902,19.531
1533058201,38.086,16.602
1533058201,53.223,20.508
1533058201,48.34,22.949
1533058201,33.203,23.438
1533058201,31.738,21.973
1533058201,44.922,19.531
1533058201,50.293,19.043
1533058201,44.434,20.508
1533058201,29.297,18.066
1533058201,16.602,14.16
1533058201,25.879,17.578
1533058201,39.062,18.066
1533058201,36.621,16.113
1533058201,29.297,15.137
1533058201,23.438,7.324
1533058201,26.855,6.836
1533058201,38.574,10.742
1533058201,46.387,7.812
1533058201,34.668,5.859
1533058201,15.137,5.371
1533058201,26.855,1.953
1533058201,53.711,3.418
1533058201,44.922,5.859
1533058201,17.09,1.465
1533058201,15.625,-0.977
1533058201,28.32,4.395
1533058201,44.922,7.812
1533058201,51.758,6.348
1533058201,45.41,4.883
1533058201,42.969,5.371
1533058201,40.527,2.441
1533058201,53.711,-1.953
1533058201,61.523,1.465
1533058201,50.781,4.883
1533058201,43.457,7.324
1533058201,40.039,7.324
1533058201,44.922,6.348
1533058201,53.223,8.789
1533058201,48.828,11.719
1533058201,35.156,16.602
1533058201,28.32,22.949
1533058201,35.156,25.391
1533058201,48.828,24.414
1533058201,39.551,19.531
1533058201,14.16,13.184
1533058201,2.441,9.766
1533058201,8.789,15.625
1533058201,31.25,20.508
1533058201,32.715,21.484
1533058201,16.113,20.02
1533058201,10.254,13.672
1533058201,17.578,15.625
1533058201,33.203,21.484
1533058201,36.621,18.555
1533058201,25.391,17.578
1533058201,20.996,22.461
1533058201,30.273,26.367
1533058201,45.898,30.273
1533058201,48.34,32.715
1533058201,39.551,35.645
1533058201,30.762,36.133
1533058201,32.715,34.18
1533058201,48.828,34.668
1533058201,42.48,34.18
1533058201,27.344,35.156
1533058201,24.414,35.645
1533058201,28.32,34.668
1533058201,32.715,33.691
1533058201,22.461,34.668
1533058201,16.113,35.156
1533058201,10.742,31.25
1533058201,13.184,30.762
