timestamps,TP9,AF7
1533222560,59.105,28.32
1533222560,62.012,30.273
1533222560,44.922,30.273
1533222560,28.809,27.832
1533222560,36.156,28.809
1533222560,57.617,36.133
1533222560,74.219,38.574
1533222560,57.129,33.691
1533222560,23.949,29.785
1533222560,20.02,33.203
1533222560,41.504,33.203
1533222560,51.758,29.785
1533222560,47.852,34.18
1533222560,34.18,36.133
1533222560,33.691,34.668
1533222560,52.246,36.133
1533222560,62.012,40.039
1533222560,51.781,36.133
1533222560,38.574,34.668
1533222560,45.41,44.434
1533222560,59.57,41.992
1533222560,68.359,37.598
1533222560,63.965,48.34
1533222560,52.734,52.246
1533222560,58.594,53.223
1533222560,69.336,53.711
1533222560,74.219,49.316
1533222560,73.73,47.363
1533222560,62.012,42.969
1533222560,54.199,39.062
1533222560,69.336,39.551
1533222560,91.309,41.016
1533222560,95.332,39.551
1533222560,71.777,39.062
1533222560,72.754,37.109
1533222560,87.891,38.086
1533222560,103.027,41.504
1533222560,102.539,34.668
1533222560,80.078,38.086
1533222560,77.637,50.781
1533222560,94.145,61.523
1533222560,107.91,66.406
1533222560,107.91,60.547
1533222560,96.68,62.012
1533222560,86.426,69.336
1533222560,82.379,64.453
1533222560,105.957,62.012
1533222560,113.77,69.336
1533222560,98.145,70.801
1533222560,83.008,64.941
1533222560,89.844,62.012
1533222560,107.422,62.5
1533222560,110.352,54.688
1533222560,88.379,46.387
1533222560,63.477,41.504
1533222560,64.941,37.598
1533222560,85.449,33.203
1533222560,88.379,29.785
1533222560,72.754,28.809
1533222560,64.941,28.32
1533222560,60.547,21.973
1533222560,62.5,20.02
1533222560,72.754,22.461
1533222560,58.105,19.043
1533222560,40.527,16.113
1533222560,47.363,18.066
1533222560,57.617,17.09
1533222560,69.824,16.602
1533222560,70.312,18.066
1533222560,53.223,20.996
1533222560,45.41,17.578
1533222560,57.617,17.09
1533222560,71.289,23.438
1533222560,67.871,22.461
1533222560,44.434,24.414
1533222560,34.668,31.25
1533222560,54.688,31.25
1533222560,67.871,27.344
1533222560,62.012,21.484
1533222560,45.41,25.391
1533222560,35.645,34.668
1533222560,40.039,32.715
1533222560,55.664,31.25
1533222560,60.547,35.156
1533222560,46.387,33.691
1533222560,31.25,29.297
1533222560,36.133,30.273
1533222560,58.594,32.227
1533222560,63.965,24.902
1533222560,57.129,20.508
1533222560,44.922,33.203
1533222560,44.434,40.039
1533222560,66.895,39.062
1533222560,79.102,39.551
1533222560,67.871,39.551
1533222560,59.082,42.48
1533222560,69.824,41.504
1533222560,91.309,41.992
1533222560,92.773,43.457
1533222560,74.219,38.574
1533222560,71.289,35.156
1533222560,80.566,33.691
1533222560,93.262,28.809
1533222560,95.703,28.809
1533222560,89.844,30.762
1533222560,75.684,29.785
1533222560,74.707,35.645
1533222560,89.355,33.691
1533222560,91.309,26.855
1533222560,90.332,26.367
1533222560,79.102,28.809
1533222560,67.871,27.344
1533222560,76.172,27.344
1533222560,92.285,27.344
1533222560,91.309,24.414
1533222560,70.312,21.484
1533222560,66.895,22.949
1533222560,72.266,24.902
1533222560,77.637,23.926
1533222560,74.219,24.414
1533222560,58.594,26.855
1533222560,48.828,24.902
1533222560,56.152,24.902
1533222560,84.473,25.879
1533222560,84.473,23.926
1533222560,61.523,21.484
1533222560,57.129,21.973
1533222560,63.965,25.391
1533222560,81.543,22.949
1533222560,89.355,21.484
1533222560,75.684,27.344
1533222560,64.941,26.367
1533222560,69.824,24.414
1533222560,86.914,28.32
1533222560,88.867,26.367
1533222560,67.383,31.25
1533222560,50.781,28.809
1533222560,54.199,17.09
1533222560,71.289,19.531
1533222560,73.242,18.066
1533222560,55.176,15.137
1533222560,47.852,19.531
1533222560,54.199,22.461
1533222560,73.242,22.461
1533222560,83.496,18.555
1533222560,71.777,13.184
1533222560,47.852,25.391
1533222560,36.621,35.156
1533222560,62.5,31.738
1533222560,92.773,39.062
1533222560,84.961,39.062
1533222560,63.965,33.691
1533222560,66.406,39.551
1533222560,80.078,38.574
1533222560,97.168,32.227
1533222560,100.586,32.715
1533222560,79.102,32.715
1533222560,71.289,33.691
1533222560,83.008,36.133
1533222560,93.262,35.156
1533222560,90.332,28.32
1533222560,72.754,29.297
1533222560,65.43,36.621
1533222560,85.449,31.25
1533222560,106.934,27.832
1533222560,107.422,30.762
1533222560,91.309,31.25
1533222560,79.102,30.762
1533222560,88.867,34.668
1533222560,98.633,28.809
1533222561,96.68,27.832
1533222561,85.938,36.621
1533222561,65.918,34.18
1533222561,76.172,36.621
1533222561,98.145,39.551
1533222561,105.957,41.504
1533222561,102.539,43.457
1533222561,87.402,41.992
1533222561,86.426,45.898
1533222561,102.539,47.852
1533222561,104.492,45.898
1533222561,97.656,48.34
1533222561,84.961,47.852
1533222561,76.66,41.016
1533222561,90.82,33.203
1533222561,100.098,28.809
1533222561,95.215,30.273
1533222561,90.332,37.598
1533222561,79.102,37.598
1533222561,80.566,34.18
1533222561,94.238,36.133
1533222561,85.449,38.086
1533222561,74.707,42.48
1533222561,76.66,44.922
1533222561,95.703,47.363
1533222561,106.445,47.852
1533222561,101.074,48.828
1533222561,89.844,48.828
1533222561,79.102,46.387
1533222561,87.891,48.34
1533222561,100.586,45.898
1533222561,95.703,45.41
1533222561,82.52,48.828
1533222561,73.242,47.852
1533222561,80.078,49.316
1533222561,87.402,48.828
1533222561,80.078,48.828
1533222561,65.43,54.199
1533222561,54.688,48.828
1533222561,63.965,46.875
1533222561,79.59,51.27
1533222561,79.59,49.316
1533222561,66.895,51.27
1533222561,53.223,50.293
1533222561,56.641,45.41
1533222561,72.266,46.387
1533222561,77.148,49.316
1533222561,59.57,43.457
1533222561,47.852,41.016
1533222561,51.27,41.016
1533222561,64.941,37.598
1533222561,73.242,38.574
1533222561,65.43,38.086
1533222561,57.617,38.574
1533222561,62.5,41.504
1533222561,77.637,37.109
1533222561,90.332,32.715
1533222561,80.078,36.133
1533222561,54.688,41.504
1533222561,43.945,36.621
1533222561,71.777,35.645
1533222561,100.098,41.992
1533222561,96.191,42.969
1533222561,81.543,44.922
1533222561,76.66,43.945
1533222561,95.703,46.875
1533222561,108.398,47.363
1533222561,96.191,43.945
1533222561,76.172,42.969
1533222561,66.406,41.016
1533222561,76.66,39.062
1533222561,86.426,35.645
1533222561,74.219,32.227
1533222561,57.129,33.203
1533222561,79.59,55.176
1533222561,94.727,60.059
1533222561,83.984,47.363
1533222561,76.172,43.457
1533222561,67.383,40.039
1533222561,53.223,36.133
1533222561,56.152,34.668
1533222561,67.383,34.668
1533222561,65.918,31.738
1533222561,45.898,25.879
1533222561,33.691,31.25
1533222561,41.992,38.086
1533222561,54.199,37.109
1533222561,55.176,36.133
1533222561,45.41,37.598
1533222561,40.039,39.062
1533222561,45.41,36.621
1533222561,63.477,36.133
1533222561,72.754,38.574
1533222561,61.035,42.48
1533222561,43.457,40.527
1533222561,36.133,41.016
1533222561,44.922,33.203
1533222561,59.082,20.996
1533222561,50.293,28.809
1533222561,32.227,33.203
1533222561,43.945,36.621
1533222561,73.73,38.086
1533222561,86.426,39.551
1533222561,67.871,41.504
1533222561,48.34,43.457
1533222561,39.551,39.551
1533222561,42.48,32.715
1533222561,52.734,34.18
1533222561,45.41,35.156
1533222561,24.902,32.227
1533222561,24.902,34.668
1533222561,41.504,36.621
1533222561,60.059,37.109
1533222561,62.988,39.551
1533222561,42.48,39.551
1533222561,32.227,43.945
1533222561,49.805,46.875
1533222561,68.359,41.504
1533222561,70.801,40.527
1533222561,47.852,39.551
1533222561,35.156,41.016
1533222561,50.781,46.387
1533222561,63.477,42.969
1533222561,61.035,37.598
1533222561,45.898,41.992
1533222561,36.133,39.062
1533222561,38.574,36.133
1533222561,48.828,36.621
1533222561,62.988,36.133
1533222561,51.758,36.621
